config,qid,citation_precision,bibliography_match_rate,orphan_rate,total_citations,bibliography_entries,candidate_pool_size,path
M2b,Q143,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q143_method2b_exp_20260413_140229.md
M2b,Q144,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q144_method2b_exp_20260413_140615.md
M2b,Q145,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q145_method2b_exp_20260413_141028.md
M2b,Q146,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q146_method2b_exp_20260413_141427.md
M2b,Q147,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q147_method2b_exp_20260413_141836.md
M2b,Q148,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q148_method2b_exp_20260413_142248.md
M2b,Q149,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q149_method2b_exp_20260413_142615.md
M2b,Q14,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q14_method2b_exp_20260412_233615.md
M2b,Q150,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q150_method2b_exp_20260413_142935.md
M2b,Q151,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q151_method2b_exp_20260413_143338.md
M2b,Q152,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q152_method2b_exp_20260413_143712.md
M2b,Q153,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q153_method2b_exp_20260413_144110.md
M2b,Q154,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q154_method2b_exp_20260413_144536.md
M2b,Q155,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q155_method2b_exp_20260413_144916.md
M2b,Q156,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q156_method2b_exp_20260413_145304.md
M2b,Q157,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q157_method2b_exp_20260413_145721.md
M2b,Q158,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q158_method2b_exp_20260413_150109.md
M2b,Q159,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q159_method2b_exp_20260413_150605.md
M2b,Q15,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q15_method2b_exp_20260412_234034.md
M2b,Q160,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q160_method2b_exp_20260413_150720.md
M2b,Q161,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q161_method2b_exp_20260413_153334.md
M2b,Q162,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q162_method2b_exp_20260413_153258.md
M2b,Q163,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q163_method2b_exp_20260413_154100.md
M2b,Q164,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q164_method2b_exp_20260413_154444.md
M2b,Q165,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q165_method2b_exp_20260413_154842.md
M2b,Q166,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q166_method2b_exp_20260413_155227.md
M2b,Q167,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q167_method2b_exp_20260413_155720.md
M2b,Q168,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q168_method2b_exp_20260413_160158.md
M2b,Q169,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q169_method2b_exp_20260413_160617.md
M2b,Q16,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q16_method2b_exp_20260412_234428.md
M2b,Q170,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q170_method2b_exp_20260413_161002.md
M2b,Q171,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q171_method2b_exp_20260413_161340.md
M2b,Q172,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q172_method2b_exp_20260413_161736.md
M2b,Q173,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q173_method2b_exp_20260413_162122.md
M2b,Q174,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q174_method2b_exp_20260413_162522.md
M2b,Q175,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q175_method2b_exp_20260413_162907.md
M2b,Q176,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q176_method2b_exp_20260413_163330.md
M2b,Q177,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2b\Q177_method2b_exp_20260413_163721.md
